id;start_time;end_time;status;created_at;updated_at;purpose;employee_id;meeting_room_id
1;2025-08-11T10:49:24;2025-08-11T03:26:01;PENDING;2025-08-11T11:27:41;2025-08-10T14:27:46;continually;1;1
2;2025-08-11T11:30:10;2025-08-10T21:56:39;APPROVED;2025-08-10T22:55:26;2025-08-10T22:37:10;besides yahoo tune-up;2;2
3;2025-08-10T16:54:55;2025-08-11T05:47:31;PENDING;2025-08-11T06:58:53;2025-08-11T04:04:18;oh vacantly;3;3
4;2025-08-10T20:54:53;2025-08-10T17:35:14;PENDING;2025-08-11T05:59:41;2025-08-10T17:24:15;out;4;4
5;2025-08-11T00:50:32;2025-08-11T11:53:08;REJECTED;2025-08-11T00:03:13;2025-08-10T19:20:20;abandoned opposite shocked;5;5
6;2025-08-11T02:40:19;2025-08-11T08:25:27;APPROVED;2025-08-11T06:29:20;2025-08-11T00:19:06;border forearm plus;6;6
7;2025-08-10T22:57:40;2025-08-11T04:51:01;REJECTED;2025-08-11T05:33:09;2025-08-10T20:03:05;even exploration outlandish;7;7
8;2025-08-11T03:07:24;2025-08-10T18:03:26;APPROVED;2025-08-11T12:13:02;2025-08-11T07:28:35;behind;8;8
9;2025-08-10T20:53:21;2025-08-11T03:02:02;PENDING;2025-08-11T05:37:48;2025-08-10T21:16:37;gah;9;9
10;2025-08-10T20:10:14;2025-08-11T01:53:54;PENDING;2025-08-11T05:31:59;2025-08-11T03:54:14;notwithstanding whereas;10;10
