id;start_date;end_date;type;reason;status;created_at;updated_at;employee_id
1;2025-08-11;2025-08-11;SICK;../fake-data/blob/hipster.txt;APPROVED;2025-08-10T18:44:44;2025-08-11T13:23:08;1
2;2025-08-10;2025-08-10;ANNUAL;../fake-data/blob/hipster.txt;PENDING;2025-08-10T17:42:56;2025-08-10T15:57:20;2
3;2025-08-11;2025-08-11;ANNUAL;../fake-data/blob/hipster.txt;REJECTED;2025-08-11T04:17:29;2025-08-11T03:16:20;3
4;2025-08-11;2025-08-11;ANNUAL;../fake-data/blob/hipster.txt;PENDING;2025-08-11T02:56:01;2025-08-11T10:14:33;4
5;2025-08-11;2025-08-10;ANNUAL;../fake-data/blob/hipster.txt;PENDING;2025-08-11T05:52:04;2025-08-11T12:14:42;5
6;2025-08-11;2025-08-11;SICK;../fake-data/blob/hipster.txt;PENDING;2025-08-11T06:15:06;2025-08-10T15:14:48;6
7;2025-08-11;2025-08-11;ANNUAL;../fake-data/blob/hipster.txt;APPROVED;2025-08-10T23:45:54;2025-08-11T12:22:27;7
8;2025-08-10;2025-08-11;SICK;../fake-data/blob/hipster.txt;PENDING;2025-08-10T21:23:49;2025-08-11T11:43:17;8
9;2025-08-11;2025-08-11;ANNUAL;../fake-data/blob/hipster.txt;APPROVED;2025-08-10T18:33:11;2025-08-11T02:21:55;9
10;2025-08-10;2025-08-10;ANNUAL;../fake-data/blob/hipster.txt;PENDING;2025-08-10T23:14:03;2025-08-10T22:02:52;10
